    2508    9849    2574    2509
    3036     207    3176    9867
     206    3050    3113    3421
     205    2969    3114    3362
    3284    3261    3447    3691
    3615    3430     203    3744
    3448     201    3285     248
     200    3626    3277    3106
    3115    2966     199    3503
     199    3049    3116    3503
     198    2967    3117    3361
     197    2968    3118    3231
    3119    3316    9855    2970
     195    3048    3120    3298
     194    2971    3121    3360
     193    2972    3122    3317
    3286    3254    3450     239
    3609    3424     191    3737
    3451     189    3287     236
    3232    3401    9933    3452
     188    3046    3123    3401
     187    3088    3124    3359
     186    2974    3125    3262
     185    3045    3126    9882
    3358    3127    3511     231
     183    2976    3128    3319
     182    3044    3129    9879
    3130    3357    2977     180
    3233    3453    3288    9877
     179    9856    3402    9876
    3276    3454     177    3105
    3455    3289    9875    3441
    3131    3441    2979     175
     175    3043    3132    3321
     174    2980    3133    3356
     173    2981    3134    3234
    3135    3322    9857    2982
     171    3042    3136    3296
     170    2983    3137    3355
     169    2984    3138    3323
    3290    3253    3456     215
    3423     167    3735    3608
    3291    3457    9851     165
    3235    3404    9872    3458
     164    3040    3139    3404
     163    3089    3140    3354
    3177    2986     161    3228
     161    2835    2575    3228
    2834    2439    2438    2833
    2833    2438      67    2576
    2576    2832    2962     138
    2832    2437    2436    2831
    3292    3236    3459    3695
     301    3831    3859    3901
    4377    4535     394    4473
    4752    5035    4841     523
    5547    5387    5299    5389
    5782    6001    5855     532
    6223    6437    6298     578
    6838    6711    6642    6713
    7094    7025    7211     626
   11138    7450    7389   11065
    7716    7879    7776     834
    8081    8028    8175     763
    8314    8362    8360   11456
    8572    8698   11558    8617
    8851    8810    8923    1012
    9065    9033    9132     953
    9257    9231    9320    1044
    1148    9474    9424    9401
    9602    9560    9539    9562
   11861    9650    9677   11862
    9808    9823    9802    1324
    9786    9773    9737   11833
    9674   11825    9729    9725
   11807   11830    9603    9600
    9369   11763    9380   11750
    9309    9224   11727    9356
    9133    9130    1594   11691
    8996   11544    8983    1559
    8766    1651    8695    8608
    8515    1697    8444    8354
    8256    1775    8168    8068
    1746    7869    7959    8066
    7373    7640    7538    1910
    7212    7187    1908    7375
    6811    1887    6839    6626
    6428    1981    6438    6284
   10584    6209    6143    2089
    2088    5692    5765    5973
    5178    4936    5273    2073
    4743   10185    4842    2166
    3730    9909    4052    4173
    3586    9908    3237    9869
    2839    2306    2988    2613
    2700    2837    2963    2307
    2836    2577    2964    2308
    2572    2961    9848    2573
    2961    2579    2965    2309
    2579     136    2571    2960
    2959    2570     135    2668
     159    3017    3141    3392
    4098    3721    3927   10250
    2082    4694    4596   10205
    5036    2084    4797   10330
   10467    5548    2031    5388
   10712    6002    5856   10679
    6232    6439    6299    1891
    6650    6840    6712    1904
    7095    7033    7213   11164
    7451    7397    7563    1750
    7777    7724    7880    1771
    8035    8176   11446    8082
    8320    8449    8361    1656
    8699    8618    8577    8625
    8852    8815    8924    1591
   11673    9134   11709    9230
    9235    9321    9258   11677
    9425    9405    9475    1457
    9604    9561    9540    9563
   11870    9706   11878    9676
    9755    9743    9777    1237
    9825    9810    9803    9811
    9807    9826    9824   11853
    9775    9738    9787    1097
    9704    1144    9707    9669
    9605    9591    9590    1047
    9476    9466     956    9535
    9252   11564    9374    9359
    9180   11532    9126    9052
    8897    8795    8963     862
    8773    8850   11483    8772
    8498    8423    8299    8422
    8150     719    8177    8011
    7868    7958   11270    7957
     694    7551   11168    7759
    7000   11056    7286    7173
   10898    6801    6617     444
    6440    6412     443    6631
    6134    6133   10719    6294
    5475     397    5699    5677
    5213    5206     305    5486
    4462    4652   10139   10187
    4064    3755    4223     258
    3139    3040     163    3354
    3853    9982    9910    3617
    4097    9983    9982     256
     210    3432    3617    9910
    3089     162    3263    3140
    3087    2580    2767     203
    2767    2369    2368    2766
    2581     202    3744    2766
    2581      30    2367    2765
    2765    3684     202    2581
    2582      29    2365    2763
    3106    2582    2763     200
    2966    2762    2583     199
    2967    2584    2759     197
    2586     196    2968    2758
    2759    2361    2360    2758
    2585    2769    2969     205
    2769    2371    2370    2768
    2586      26    2359    2757
     196    2586    2757    9855
     195    2970    2587    2756
    2754    2356    2355    2753
    2588    2754    2971     194
    2753    2589    2972     193
    2752    2354    2353    2751
    2750    3737     191    2591
    2590      21    2350    2748
    2750    2352    2351    2749
    2590    3675     190    2749
    2592     188    2973    2747
    2593      19    2346    2744
     188    2592    2746    3046
     187    2745    2593    3088
    2594     185    2974    2743
    2740    2342    2341    2739
     185    2594    2742    3045
    2975    2595    2740     183
    2976    2739    2596     182
    2977    2597    2736     180
    2978    2735    2598     179
    2736    2338    2337    2735
    2734    2336    2335    2733
    2599     178    3728    2733
    3600    3402    9856    3728
    2600      12    2332    2730
    2732    3683     178    2599
     177    2731    2600    3105
    2601     175    2979    2729
    2980    2602    2726     173
    2603     172    2981    2725
    2726    2328    2327    2725
    2603       9    2326    2724
     172    2603    2724    9857
     171    2982    2604    2723
    2721    2323    2322    2720
    2605    2721    2983     170
    2720    2606    2984     169
    2719    2321    2320    2718
    2717    3735     167    2608
    2607       4    2317    2715
    2717    2319    2318    2716
    2716    2607    3676     166
    2985    2609    2713     164
    2714    2609    2985     165
    2610       2    2313    2711
    2712    2610     163    3040
     161    2986    2611    9850
    2710    2611    2986     162
    2612    2441    2440    2835
    2831    2616    2987     391
    3304    3594     301    9998
    4099    3716    4043    4575
   10166    4474    4276    4071
    4778    4891    5037   10539
   10603    5549    5389    5262
    5857    5804    5901    6003
    6300    6244    6441     699
    6713    6660    6842     625
    7096    7043    7214     715
    7409    7564    7452     835
    7735    7881     762    7778
    8046    8178    8083   11362
   11514   11482    8330   11441
    8619    8584    8700    1013
    8853    8824    8925     952
    9135    9067    9045    9092
    9245    9322    9259    1149
    9426    9412    9477    1092
    9606    9528    9578    1283
    9677    9664    9708    1282
    9778    1323    9763   11889
    1370    9793    9751    9724
    9656    9721    9699   11759
    9641    9638    9553    9600
    9512    9462    9393    9455
    1596    9323    9196    9184
    9117   11646    9173   11687
    8985    8984    1558    9060
    8517    1696    8446    8356
    8259    1776    8171    8071
    7871    7961    1745    7964
    1837    7552    7651    7762
    7009    7291    7185    1884
    6843    6810    1886    7011
    6407    1980    6442    6213
    5844    6143    6146    6117
    5766    5692    5858    5767
    5284    2072    5195    4973
    4635    4412    4730    2164
    3847    2213    4100    3934
    3406    2214    9909    3481
    2447    2446    2838    2839
    2842    2614    3677    2304
    2614      73    2449    2841
    2843    2451    2450    2842
    2302    3065    3257    3326
    2210    3524    3792    3861
    2226    4212    4426    4645
    4736    4974    2161    4646
    5294   10450    5593   10359
